LOCATION,Country,VAR,Variable ,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Cell,Flag Codes,Flags
FIN,Finland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,106.273,,
FIN,Finland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,114.738,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FRA,France,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,27.062,,
FRA,France,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,35.525,,
FRA,France,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,42.469,,
FRA,France,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,44.743,,
FRA,France,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,49.86,,
FRA,France,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,59.068,,
FRA,France,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,68.384,,
FRA,France,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,73.794,,
FRA,France,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,79.713,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DEU,Germany,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,16.815,,
DEU,Germany,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,22.547,,
DEU,Germany,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,27.929,,
DEU,Germany,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,39.835,,
DEU,Germany,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,50.926,,
DEU,Germany,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,36.508,,
DEU,Germany,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,71.698,,
DEU,Germany,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,74.683,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GRC,Greece,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,10.348,,
GRC,Greece,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,22.454,,
GRC,Greece,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,26.812,,
GRC,Greece,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,30.936,,
GRC,Greece,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,31.501,,
GRC,Greece,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,35.126,,
GRC,Greece,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,42.328,,
GRC,Greece,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,48.823,,
GRC,Greece,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,61.686,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
HUN,Hungary,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,2.139,,
HUN,Hungary,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,2.775,,
HUN,Hungary,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,6.943,,
HUN,Hungary,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,8.387,,
HUN,Hungary,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,12.36,,
HUN,Hungary,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,18.942,,
HUN,Hungary,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,35.933,,
HUN,Hungary,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,40.763,,
HUN,Hungary,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,44.942,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ISL,Iceland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,24.133,,
ISL,Iceland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,34.83,,
ISL,Iceland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,44.787,,
ISL,Iceland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,56.996,,
ISL,Iceland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,62.603,,
ISL,Iceland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,72.944,,
ISL,Iceland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,81.425,,
ISL,Iceland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,90.84,,
ISL,Iceland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,95.586,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
IRL,Ireland,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,28.047,,
