LOCATION,Country,SUBJECT,Subject,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Growth,Flag Codes,Flags
BRA,Brazil,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2009,2009,PC,Percentage,0,Units,,,1.039206,,
BRA,Brazil,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2010,2010,PC,Percentage,0,Units,,,-0.3827514,,
BRA,Brazil,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2011,2011,PC,Percentage,0,Units,,,2.366174,,
BRA,Brazil,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2012,2012,PC,Percentage,0,Units,,,0.9420484,,
BRA,Brazil,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2013,2013,PC,Percentage,0,Units,,,0.8904736,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2000,2000,PC,Percentage,0,Units,,,0.6560958,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2001,2001,PC,Percentage,0,Units,,,0.7006998,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2002,2002,PC,Percentage,0,Units,,,0.702188,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2003,2003,PC,Percentage,0,Units,,,0.6841452,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2004,2004,PC,Percentage,0,Units,,,0.7142373,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2005,2005,PC,Percentage,0,Units,,,0.736249,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2006,2006,PC,Percentage,0,Units,,,0.6799229,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2007,2007,PC,Percentage,0,Units,,,0.596724,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2008,2008,PC,Percentage,0,Units,,,0.5410066,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2009,2009,PC,Percentage,0,Units,,,0.5059126,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2010,2010,PC,Percentage,0,Units,,,0.482816,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2011,2011,PC,Percentage,0,Units,,,0.4853444,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2012,2012,PC,Percentage,0,Units,,,0.4600292,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2013,2013,PC,Percentage,0,Units,,,0.4284693,,
FRA,France,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2014,2014,PC,Percentage,0,Units,,,0.4328628,B,Break
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2000,2000,PC,Percentage,0,Units,,,-0.03658218,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2001,2001,PC,Percentage,0,Units,,,-0.01306984,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2002,2002,PC,Percentage,0,Units,,,-0.0496719,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2003,2003,PC,Percentage,0,Units,,,-0.09677757,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2004,2004,PC,Percentage,0,Units,,,-0.03927216,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2005,2005,PC,Percentage,0,Units,,,-0.04976428,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2006,2006,PC,Percentage,0,Units,,,-0.07599381,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2007,2007,PC,Percentage,0,Units,,,-0.04195951,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2008,2008,PC,Percentage,0,Units,,,0,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2009,2009,PC,Percentage,0,Units,,,0.09707209,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2010,2010,PC,Percentage,0,Units,,,0.9540534,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2011,2011,PC,Percentage,0,Units,,,0.02336631,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2012,2012,PC,Percentage,0,Units,,,0.0207652,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2013,2013,PC,Percentage,0,Units,,,-0.08304355,,
POL,Poland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2014,2014,PC,Percentage,0,Units,,,-0.04675082,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2000,2000,PC,Percentage,0,Units,,,-0.1352664,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2001,2001,PC,Percentage,0,Units,,,-0.1828449,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2002,2002,PC,Percentage,0,Units,,,-0.03634594,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2003,2003,PC,Percentage,0,Units,,,-0.06579985,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2004,2004,PC,Percentage,0,Units,,,-0.02035965,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2005,2005,PC,Percentage,0,Units,,,0.009791002,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2006,2006,PC,Percentage,0,Units,,,0.004615838,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2007,2007,PC,Percentage,0,Units,,,0.02918266,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2008,2008,PC,Percentage,0,Units,,,0.08577348,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2009,2009,PC,Percentage,0,Units,,,0.1333462,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2010,2010,PC,Percentage,0,Units,,,0.09325329,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2011,2011,PC,Percentage,0,Units,,,0.1290196,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2012,2012,PC,Percentage,0,Units,,,0.1703288,,
SVK,Slovak Republic,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2013,2013,PC,Percentage,0,Units,,,0.1547828,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2000,2000,PC,Percentage,0,Units,,,0.2129719,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2001,2001,PC,Percentage,0,Units,,,0.2318393,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2002,2002,PC,Percentage,0,Units,,,0.2505783,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2003,2003,PC,Percentage,0,Units,,,0.2307249,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2004,2004,PC,Percentage,0,Units,,,0.2877422,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2005,2005,PC,Percentage,0,Units,,,0.3442999,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2006,2006,PC,Percentage,0,Units,,,0.400305,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2007,2007,PC,Percentage,0,Units,,,0.4176951,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2008,2008,PC,Percentage,0,Units,,,0.453772,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2009,2009,PC,Percentage,0,Units,,,0.4893657,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2010,2010,PC,Percentage,0,Units,,,0.4495224,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2011,2011,PC,Percentage,0,Units,,,0.466157,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2012,2012,PC,Percentage,0,Units,,,0.4825538,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2013,2013,PC,Percentage,0,Units,,,0.4617658,,
FIN,Finland,YPTTTTL1_GY,Population mid-year estimates Total (growth rate),A,Annual,2014,2014,PC,Percentage,0,Units,,,0.6067291,,
